source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000000_t000000.00s.jpg,1\1_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,307.77
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000090_t000003.00s.jpg,1\1_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,261.54
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000120_t000004.00s.jpg,1\1_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,299.84
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000150_t000005.00s.jpg,1\1_f000150_t000005.00s.jpg,150,5.00,29.970,1920,486,331.72
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000480_t000016.02s.jpg,1\1_f000480_t000016.02s.jpg,480,16.02,29.970,1920,486,294.22
smoke_dataset\data\raw_videos\1.mp4,smoke_dataset\data\frames_horizon\1\1_f000570_t000019.02s.jpg,1\1_f000570_t000019.02s.jpg,570,19.02,29.970,1920,486,330.83
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000000_t000000.00s.jpg,10\10_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,446.28
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000120_t000004.00s.jpg,10\10_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,488.68
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000180_t000006.01s.jpg,10\10_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,379.69
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000210_t000007.01s.jpg,10\10_f000210_t000007.01s.jpg,210,7.01,29.970,1920,486,677.75
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000330_t000011.01s.jpg,10\10_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,616.93
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000360_t000012.01s.jpg,10\10_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,291.16
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000390_t000013.01s.jpg,10\10_f000390_t000013.01s.jpg,390,13.01,29.970,1920,486,388.37
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000420_t000014.01s.jpg,10\10_f000420_t000014.01s.jpg,420,14.01,29.970,1920,486,501.36
smoke_dataset\data\raw_videos\10.mp4,smoke_dataset\data\frames_horizon\10\10_f000510_t000017.02s.jpg,10\10_f000510_t000017.02s.jpg,510,17.02,29.970,1920,486,495.49
smoke_dataset\data\raw_videos\11.mp4,smoke_dataset\data\frames_horizon\11\11_f000000_t000000.00s.jpg,11\11_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,415.32
smoke_dataset\data\raw_videos\11.mp4,smoke_dataset\data\frames_horizon\11\11_f000480_t000016.02s.jpg,11\11_f000480_t000016.02s.jpg,480,16.02,29.970,1920,486,282.49
