source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videos nuevos\10 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\1\1_f000000_t000000.00s.jpg,10 (wide angle)\1\1_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,3491.34
videos nuevos\10 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\1\1_f000030_t000001.00s.jpg,10 (wide angle)\1\1_f000030_t000001.00s.jpg,30,1.00,29.970,1920,486,2844.39
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000000_t000000.00s.jpg,10 (wide angle)\2\2_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2574.99
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000240_t000008.01s.jpg,10 (wide angle)\2\2_f000240_t000008.01s.jpg,240,8.01,29.970,1920,486,1629.36
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000270_t000009.01s.jpg,10 (wide angle)\2\2_f000270_t000009.01s.jpg,270,9.01,29.970,1920,486,2704.34
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000360_t000012.01s.jpg,10 (wide angle)\2\2_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,2673.37
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000420_t000014.01s.jpg,10 (wide angle)\2\2_f000420_t000014.01s.jpg,420,14.01,29.970,1920,486,1983.40
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000450_t000015.02s.jpg,10 (wide angle)\2\2_f000450_t000015.02s.jpg,450,15.02,29.970,1920,486,1955.25
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000480_t000016.02s.jpg,10 (wide angle)\2\2_f000480_t000016.02s.jpg,480,16.02,29.970,1920,486,1968.31
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000510_t000017.02s.jpg,10 (wide angle)\2\2_f000510_t000017.02s.jpg,510,17.02,29.970,1920,486,1958.34
videos nuevos\10 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\2\2_f000540_t000018.02s.jpg,10 (wide angle)\2\2_f000540_t000018.02s.jpg,540,18.02,29.970,1920,486,2026.48
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000000_t000000.00s.jpg,10 (wide angle)\3\3_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,5162.44
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000030_t000001.00s.jpg,10 (wide angle)\3\3_f000030_t000001.00s.jpg,30,1.00,29.970,1920,486,2729.98
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000060_t000002.00s.jpg,10 (wide angle)\3\3_f000060_t000002.00s.jpg,60,2.00,29.970,1920,486,2447.06
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000090_t000003.00s.jpg,10 (wide angle)\3\3_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,2404.96
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000120_t000004.00s.jpg,10 (wide angle)\3\3_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,2961.43
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000150_t000005.00s.jpg,10 (wide angle)\3\3_f000150_t000005.00s.jpg,150,5.00,29.970,1920,486,3023.52
videos nuevos\10 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\3\3_f000180_t000006.01s.jpg,10 (wide angle)\3\3_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,3159.24
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000000_t000000.00s.jpg,10 (wide angle)\4\4_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2837.67
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000120_t000004.00s.jpg,10 (wide angle)\4\4_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,2170.61
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000150_t000005.00s.jpg,10 (wide angle)\4\4_f000150_t000005.00s.jpg,150,5.00,29.970,1920,486,3042.52
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000330_t000011.01s.jpg,10 (wide angle)\4\4_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,2189.25
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000360_t000012.01s.jpg,10 (wide angle)\4\4_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,2357.79
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000390_t000013.01s.jpg,10 (wide angle)\4\4_f000390_t000013.01s.jpg,390,13.01,29.970,1920,486,2321.39
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000420_t000014.01s.jpg,10 (wide angle)\4\4_f000420_t000014.01s.jpg,420,14.01,29.970,1920,486,2384.51
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000450_t000015.02s.jpg,10 (wide angle)\4\4_f000450_t000015.02s.jpg,450,15.02,29.970,1920,486,2414.69
videos nuevos\10 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\4\4_f000480_t000016.02s.jpg,10 (wide angle)\4\4_f000480_t000016.02s.jpg,480,16.02,29.970,1920,486,2428.60
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000000_t000000.00s.jpg,10 (wide angle)\5\5_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2771.93
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000030_t000001.00s.jpg,10 (wide angle)\5\5_f000030_t000001.00s.jpg,30,1.00,29.970,1920,486,2766.94
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000060_t000002.00s.jpg,10 (wide angle)\5\5_f000060_t000002.00s.jpg,60,2.00,29.970,1920,486,2727.00
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000090_t000003.00s.jpg,10 (wide angle)\5\5_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,2720.53
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000120_t000004.00s.jpg,10 (wide angle)\5\5_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,2685.55
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000150_t000005.00s.jpg,10 (wide angle)\5\5_f000150_t000005.00s.jpg,150,5.00,29.970,1920,486,2715.78
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000180_t000006.01s.jpg,10 (wide angle)\5\5_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,2687.04
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000210_t000007.01s.jpg,10 (wide angle)\5\5_f000210_t000007.01s.jpg,210,7.01,29.970,1920,486,2728.13
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000240_t000008.01s.jpg,10 (wide angle)\5\5_f000240_t000008.01s.jpg,240,8.01,29.970,1920,486,2753.69
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000270_t000009.01s.jpg,10 (wide angle)\5\5_f000270_t000009.01s.jpg,270,9.01,29.970,1920,486,2761.63
