source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000000_t000000.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000000_t000000.00s.jpg,0,0.00,30.000,1280,1024,2019.08
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000060_t000002.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000060_t000002.00s.jpg,60,2.00,30.000,1280,1024,1999.34
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000120_t000004.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000120_t000004.00s.jpg,120,4.00,30.000,1280,1024,2311.93
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000180_t000006.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000180_t000006.00s.jpg,180,6.00,30.000,1280,1024,2639.17
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000240_t000008.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000240_t000008.00s.jpg,240,8.00,30.000,1280,1024,1834.04
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000300_t000010.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000300_t000010.00s.jpg,300,10.00,30.000,1280,1024,1139.99
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000360_t000012.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000360_t000012.00s.jpg,360,12.00,30.000,1280,1024,1470.02
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000420_t000014.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000420_t000014.00s.jpg,420,14.00,30.000,1280,1024,1568.78
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000480_t000016.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000480_t000016.00s.jpg,480,16.00,30.000,1280,1024,1445.43
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000540_t000018.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f000540_t000018.00s.jpg,540,18.00,30.000,1280,1024,1520.16
