epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.181,2.53573,3.6462,17.0041,1.23626,0,0.00052,0.07692,4e-05,1e-05,0.00167,0.24615,0.00041,6e-05,1.83974,2.5575,11.2593,0.64017,0,0.000657277,0.000657277,0.000657277
2,40.3022,2.277,3.12911,13.9181,1.11299,0,0.00115,0.16923,0.0002,4e-05,0.00135,0.2,0.00028,8e-05,1.72647,2.89008,10.9609,0.66979,0,0.00132344,0.00132344,0.00132344
3,59.7125,2.31943,2.97145,12.042,1.1711,0,0.68723,0.1018,0.14865,0.06641,0.69279,0.10436,0.13407,0.03225,1.76971,2.30645,10.1387,0.68199,0,0.00198757,0.00198757,0.00198757
4,79.1325,2.48945,3.1205,12.2591,1.27621,0,0.51871,0.09231,0.10745,0.02682,0.47228,0.09661,0.08603,0.01743,2.34253,2.23923,8.93414,1.08725,0,0.00199314,0.00199314,0.00199314
5,98.1968,2.33091,2.9699,10.3439,1.11333,0,0.29469,0.32308,0.23493,0.07838,0.41984,0.25616,0.19547,0.06699,1.91884,2.43947,8.55461,0.69406,0,0.00198781,0.00198781,0.00198781
6,117.075,2.41931,2.83626,7.61682,1.21464,0,0.30263,0.36923,0.22396,0.05968,0.38338,0.2,0.14972,0.0463,1.84218,2.49386,8.56074,0.70013,0,0.00198098,0.00198098,0.00198098
7,135.404,2.44054,2.96028,8.42724,1.15583,0,0.52188,0.30769,0.24173,0.08171,0.38098,0.23077,0.15477,0.04657,1.70822,2.55826,6.32902,0.6851,0,0.00197265,0.00197265,0.00197265
8,153.497,2.35053,2.88171,7.37375,1.15066,0,0.00156,0.23077,0.00046,0.0001,0.00094,0.13846,0.00023,3e-05,2.23516,2.76804,8.3286,0.94521,0,0.00196283,0.00196283,0.00196283
9,172.026,2.37298,2.74016,7.07908,1.13618,0,0.46603,0.21538,0.16095,0.04575,0.35011,0.18462,0.12343,0.04564,1.90442,2.60592,5.82592,0.70887,0,0.00195155,0.00195155,0.00195155
10,190.468,2.47076,2.95267,7.11293,1.13702,0,0.42962,0.30769,0.25217,0.08097,0.40347,0.23942,0.23608,0.08183,1.85083,2.22598,5.99259,0.68972,0,0.00193881,0.00193881,0.00193881
11,208.999,2.46078,2.74112,6.19248,1.19514,0,0.4166,0.32308,0.21822,0.06516,0.66548,0.30769,0.28916,0.0595,1.88215,2.43166,4.95483,0.70704,0,0.00192464,0.00192464,0.00192464
12,227.569,2.34081,2.65136,5.41538,1.13477,0,0.48102,0.30769,0.27739,0.09176,0.38716,0.24615,0.22577,0.04601,1.7463,2.16374,4.55782,0.64077,0,0.00190906,0.00190906,0.00190906
13,246.1,1.96878,2.50376,6.10498,1.03698,0,0.53725,0.37517,0.32027,0.13164,0.47277,0.36923,0.33239,0.08206,1.71946,2.06439,4.15272,0.63554,0,0.0018921,0.0018921,0.0018921
14,264.805,2.23216,2.59664,4.58557,1.09687,0,0.56653,0.30171,0.26991,0.08282,0.5611,0.30769,0.28521,0.08454,1.7694,1.97124,4.49051,0.67845,0,0.00187377,0.00187377,0.00187377
15,283.764,2.35266,2.58326,4.15849,1.17411,0,0.77354,0.32308,0.36919,0.13915,0.63583,0.26154,0.28092,0.08795,1.7183,2.0621,3.86531,0.66743,0,0.00185411,0.00185411,0.00185411
16,302.485,2.18667,2.61305,4.39367,1.02837,0,0.34641,0.4,0.34175,0.0923,0.36214,0.36923,0.2296,0.05043,1.74413,1.90945,3.62125,0.65207,0,0.00183315,0.00183315,0.00183315
17,321.164,2.16759,2.33905,3.91906,1.16604,0,0.41486,0.26154,0.25454,0.08658,0.41542,0.29231,0.20985,0.04527,1.70573,2.2024,3.45313,0.65151,0,0.00181093,0.00181093,0.00181093
18,339.548,2.06609,2.33314,4.05429,1.05476,0,0.57545,0.41709,0.36926,0.13473,0.51652,0.37811,0.34959,0.11994,1.67892,2.17578,3.07318,0.64297,0,0.00178746,0.00178746,0.00178746
19,358.308,2.27146,2.35209,4.69228,1.07346,0,0.76464,0.04615,0.26749,0.11298,0.74512,0.04525,0.25279,0.05731,1.68994,2.33115,3.67636,0.64202,0,0.0017628,0.0017628,0.0017628
20,377.338,2.25961,2.72998,3.94145,1.14238,0,0.53048,0.38462,0.32684,0.0982,0.4528,0.33846,0.2749,0.07648,1.69116,2.53398,3.10132,0.62368,0,0.00173698,0.00173698,0.00173698
21,395.508,2.20257,2.33397,3.89461,1.04227,0,0.6064,0.4267,0.38511,0.11689,0.55704,0.38699,0.38591,0.10231,1.71144,2.11616,3.27422,0.63202,0,0.00171004,0.00171004,0.00171004
22,413.771,2.1606,2.48511,3.31307,1.09729,0,0.50984,0.38462,0.3357,0.11038,0.42607,0.4,0.33327,0.11885,1.71057,2.02099,3.01234,0.64301,0,0.00168201,0.00168201,0.00168201
23,432.392,1.98085,2.43162,3.2826,1.07868,0,0.5333,0.43958,0.32917,0.12783,0.53411,0.40573,0.35436,0.11201,1.63489,1.85955,2.492,0.6535,0,0.00165295,0.00165295,0.00165295
24,450.82,2.27579,2.44329,3.0224,1.1092,0,0.49141,0.33846,0.33628,0.11097,0.45186,0.31714,0.32179,0.08357,1.65416,2.07102,2.3943,0.64681,0,0.0016229,0.0016229,0.0016229
25,468.99,2.03097,2.4129,3.00787,1.06416,0,0.42378,0.33846,0.23138,0.08536,0.44757,0.36154,0.29883,0.10523,1.69837,2.0044,2.30007,0.64169,0,0.00159191,0.00159191,0.00159191
26,487.431,1.97399,2.22384,3.07069,1.03816,0,0.4741,0.32308,0.28382,0.1028,0.50614,0.33846,0.31626,0.10107,1.66561,1.99374,2.17802,0.64837,0,0.00156001,0.00156001,0.00156001
27,506.202,2.08029,2.45702,2.67533,1.07596,0,0.49864,0.44376,0.31954,0.12357,0.43991,0.41538,0.31825,0.09857,1.73536,1.93248,2.09667,0.66662,0,0.00152727,0.00152727,0.00152727
28,525.013,2.08507,2.52064,2.38018,1.15248,0,0.51376,0.41538,0.34778,0.1315,0.52653,0.42776,0.35875,0.10248,1.70548,1.8553,2.10589,0.66476,0,0.00149374,0.00149374,0.00149374
29,543.722,1.99541,2.10285,2.3809,1.03692,0,0.52675,0.4,0.36107,0.12335,0.49144,0.41628,0.3391,0.10946,1.74575,1.88345,2.04225,0.65768,0,0.00145945,0.00145945,0.00145945
30,562.73,2.0712,2.26378,2.08853,1.15029,0,0.49147,0.4312,0.35588,0.14235,0.44821,0.38462,0.37687,0.14545,1.59504,1.88714,1.95751,0.64064,0,0.00142447,0.00142447,0.00142447
31,581.508,2.05606,2.40622,2.20201,1.03267,0,0.52194,0.46154,0.3534,0.13682,0.51149,0.4,0.33857,0.12125,1.53485,1.89661,1.92681,0.62656,0,0.00138886,0.00138886,0.00138886
32,600.275,2.0492,2.29719,2.19292,1.01787,0,0.56505,0.47692,0.4174,0.14874,0.46161,0.38462,0.38742,0.15299,1.64346,1.8729,1.77468,0.62168,0,0.00135266,0.00135266,0.00135266
33,619.067,1.8459,2.1386,2.061,0.98953,0,0.47013,0.36923,0.36756,0.11737,0.44435,0.35385,0.31041,0.08988,1.69592,2.04777,1.91026,0.64473,0,0.00131593,0.00131593,0.00131593
34,637.247,1.85426,2.29317,2.11081,1.03593,0,0.516,0.49231,0.37444,0.12622,0.45168,0.44615,0.27639,0.09225,1.60718,1.92943,1.68393,0.62951,0,0.00127873,0.00127873,0.00127873
35,655.82,2.00107,2.13109,1.99984,1.07498,0,0.65497,0.49654,0.45325,0.16114,0.51727,0.44615,0.33563,0.11238,1.62206,2.04499,1.79404,0.62891,0,0.00124111,0.00124111,0.00124111
36,674.7,1.97843,2.10153,1.96431,0.99798,0,0.57126,0.45103,0.40575,0.13639,0.57166,0.47692,0.3966,0.12824,1.63133,2.12878,1.79371,0.63542,0,0.00120314,0.00120314,0.00120314
37,693.341,1.92988,2.2623,1.8895,0.98409,0,0.72509,0.32308,0.38406,0.12137,0.41926,0.46154,0.36128,0.12919,1.60518,1.9869,1.63224,0.61776,0,0.00116487,0.00116487,0.00116487
38,711.69,1.82515,2.35089,1.91495,0.9966,0,0.61113,0.32308,0.3217,0.10803,0.59606,0.27253,0.29162,0.09744,1.59012,2.09684,1.80204,0.61129,0,0.00112636,0.00112636,0.00112636
39,729.982,1.99062,2.21977,2.048,0.97876,0,0.475,0.33846,0.31062,0.11434,0.42351,0.30769,0.27676,0.07821,1.59459,2.30529,1.6796,0.61936,0,0.00108767,0.00108767,0.00108767
40,748.524,1.94125,2.13284,1.78529,0.98775,0,0.53224,0.40266,0.37505,0.14654,0.45429,0.34588,0.29493,0.08739,1.56155,2.18847,1.48275,0.61876,0,0.00104887,0.00104887,0.00104887
41,766.716,1.71442,2.18631,1.87952,1.00714,0,0.62404,0.4,0.40599,0.16619,0.53695,0.39255,0.36181,0.12071,1.58683,1.96652,1.5326,0.64183,0,0.00101,0.00101,0.00101
42,785.204,1.97551,2.12764,1.70652,1.05728,0,0.64173,0.38583,0.38628,0.13462,0.54471,0.33141,0.32025,0.08444,1.70331,2.1242,1.64035,0.65499,0,0.000971133,0.000971133,0.000971133
43,803.664,1.81036,2.11251,1.65936,1.04056,0,0.6212,0.44615,0.43375,0.171,0.5337,0.43077,0.37094,0.1107,1.60727,2.1165,1.42996,0.63922,0,0.000932325,0.000932325,0.000932325
44,821.656,1.63964,1.9325,1.66095,0.93261,0,0.56205,0.46154,0.42239,0.1491,0.5486,0.46154,0.3956,0.13527,1.60969,1.95548,1.45435,0.63542,0,0.000893638,0.000893638,0.000893638
45,840.528,1.91104,2.16045,1.6569,1.05347,0,0.57309,0.43077,0.39038,0.13539,0.44223,0.42697,0.36278,0.10791,1.61092,1.96774,1.38002,0.63836,0,0.00085513,0.00085513,0.00085513
46,859.359,2.00365,1.93298,1.70062,1.00301,0,0.63782,0.44615,0.41521,0.13611,0.61833,0.32404,0.3407,0.0933,1.6815,2.05405,1.38772,0.6615,0,0.000816861,0.000816861,0.000816861
47,877.944,1.83727,2.22919,1.58099,0.98909,0,0.69272,0.52308,0.449,0.15601,0.63486,0.42803,0.39633,0.10834,1.64548,2.14586,1.36075,0.63734,0,0.000778889,0.000778889,0.000778889
48,896.319,1.87317,2.15541,1.50368,0.97662,0,0.70234,0.53846,0.48584,0.17637,0.5418,0.41538,0.35585,0.10277,1.65935,2.06466,1.39397,0.63153,0,0.000741274,0.000741274,0.000741274
49,915.182,1.82158,2.01825,1.59001,1.0361,0,0.63686,0.50769,0.44606,0.16032,0.47884,0.42412,0.3604,0.0989,1.60077,2.12626,1.34507,0.63392,0,0.000704073,0.000704073,0.000704073
50,933.499,1.94576,2.22899,1.50952,1.03096,0,0.62403,0.48524,0.36395,0.14347,0.5014,0.36923,0.32688,0.10165,1.54365,2.03899,1.33631,0.62958,0,0.000667344,0.000667344,0.000667344
51,951.713,1.69016,1.92004,1.4888,0.91721,0,0.58882,0.46154,0.39348,0.16495,0.4909,0.4,0.32584,0.10143,1.56136,1.88906,1.31556,0.64893,0,0.000631143,0.000631143,0.000631143
52,970.123,1.77414,2.01801,1.45981,0.96325,0,0.58384,0.49647,0.42327,0.15928,0.48807,0.38462,0.29735,0.07564,1.62319,1.88591,1.32206,0.64904,0,0.000595527,0.000595527,0.000595527
