epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4854,2.89695,3.92779,15.9872,1.31114,0,0.00012,0.0202,0,0,0.00041,0.07071,4e-05,1e-05,1.97981,3.11907,11.1282,0.77567,0,0.000659864,0.000659864,0.000659864
2,49.7589,2.78652,3.79135,11.7295,1.24962,0,0.48668,0.06061,0.05332,0.0153,0.64891,0.08081,0.0913,0.01629,1.91243,2.12615,9.68618,0.81855,0,0.00132602,0.00132602,0.00132602
3,73.8878,2.77823,3.40069,11.2064,1.20152,0,0.13169,0.0303,0.05127,0.02108,0.3126,0.07071,0.08291,0.01967,1.97854,2.35511,7.94097,0.84818,0,0.00199016,0.00199016,0.00199016
4,97.8224,2.80801,3.62109,9.5106,1.26236,0,0.37772,0.07071,0.10341,0.03527,0.32376,0.06061,0.09127,0.01943,1.8946,2.34982,7.00772,0.81581,0,0.00199314,0.00199314,0.00199314
5,122.943,2.62124,3.37936,7.94007,1.33428,0,0.18284,0.17172,0.11028,0.03647,0.18457,0.17172,0.09141,0.01695,1.9916,2.21099,7.02334,0.8095,0,0.00198781,0.00198781,0.00198781
6,147.085,2.79786,3.40605,7.02078,1.30896,0,0.36435,0.18182,0.19322,0.06537,0.49846,0.19077,0.20892,0.05226,1.87448,2.1147,5.36429,0.74672,0,0.00198098,0.00198098,0.00198098
7,170.991,2.46704,2.75258,6.73369,1.19495,0,0.35799,0.14141,0.14422,0.04971,0.33242,0.13131,0.11301,0.02918,2.04261,2.85485,4.93931,0.82209,0,0.00197265,0.00197265,0.00197265
8,194.99,2.35943,2.94754,5.44482,1.12558,0,0.24036,0.22222,0.1264,0.03705,0.27399,0.2783,0.194,0.04511,2.09899,1.99617,4.92684,0.81929,0,0.00196283,0.00196283,0.00196283
9,218.65,2.26849,2.48282,5.11314,1.08442,0,0.38978,0.12121,0.10906,0.03316,0.21397,0.15152,0.10528,0.02845,2.01517,2.03554,4.30878,0.82323,0,0.00195155,0.00195155,0.00195155
10,242.683,2.47637,2.76306,4.22644,1.22599,0,0.5835,0.12747,0.1495,0.04684,0.53723,0.11737,0.13578,0.04796,2.00157,2.14288,4.16329,0.84511,0,0.00193881,0.00193881,0.00193881
11,266.512,2.40859,2.77374,4.50886,1.0916,0,0.35599,0.25253,0.18846,0.06057,0.30639,0.20202,0.15582,0.05444,1.94842,1.81603,3.67731,0.80842,0,0.00192464,0.00192464,0.00192464
12,290.499,2.49513,2.95986,3.81159,1.17898,0,0.15777,0.20202,0.07415,0.02628,0.17564,0.19192,0.08689,0.02739,1.93264,2.02607,3.56073,0.79647,0,0.00190906,0.00190906,0.00190906
13,314.512,2.29383,2.48842,3.60996,1.08143,0,0.48017,0.16162,0.15995,0.05659,0.32536,0.17172,0.1156,0.02961,1.87353,2.01043,3.33713,0.75195,0,0.0018921,0.0018921,0.0018921
14,338.364,2.46212,2.8136,3.24178,1.09433,0,0.49175,0.16162,0.20758,0.07238,0.57054,0.16162,0.18293,0.05903,1.96118,2.16987,3.19175,0.76566,0,0.00187377,0.00187377,0.00187377
15,362.465,2.46081,2.81298,2.95254,1.20847,0,0.37497,0.21212,0.14726,0.03845,0.2271,0.13359,0.08913,0.01827,2.06836,2.28924,3.10524,0.84817,0,0.00185411,0.00185411,0.00185411
16,386.514,2.4435,2.80182,2.77031,1.16123,0,0.62073,0.23146,0.27615,0.09405,0.50126,0.20202,0.21696,0.05033,1.97513,2.21695,2.8319,0.77661,0,0.00183315,0.00183315,0.00183315
17,410.763,2.33241,2.84582,2.61729,1.11701,0,0.26551,0.20202,0.11633,0.03743,0.25692,0.17172,0.11889,0.03087,1.99904,2.2683,2.6956,0.78238,0,0.00181093,0.00181093,0.00181093
18,434.729,2.04739,2.51353,2.72518,1.04069,0,0.39265,0.23232,0.1711,0.04882,0.4203,0.26263,0.23848,0.06403,2.00109,1.92229,2.37797,0.79155,0,0.00178746,0.00178746,0.00178746
19,460.846,2.40995,2.83889,2.50951,1.18337,0,0.27371,0.18182,0.1237,0.0275,0.22229,0.17172,0.07368,0.01624,1.97699,1.88879,2.54968,0.80226,0,0.0017628,0.0017628,0.0017628
20,485.326,2.14342,2.29168,2.37911,1.05321,0,0.4083,0.25253,0.21391,0.06074,0.36624,0.24242,0.16022,0.04291,2.04637,1.84033,2.26784,0.81101,0,0.00173698,0.00173698,0.00173698
21,510.364,2.23219,2.40425,2.43942,1.09312,0,0.65341,0.18182,0.20554,0.04806,0.34222,0.12121,0.12019,0.05062,2.07668,2.26028,2.51438,0.81616,0,0.00171004,0.00171004,0.00171004
22,535.995,2.23521,2.48112,2.19975,1.0789,0,0.23993,0.26263,0.17527,0.05555,0.23109,0.25502,0.14536,0.04462,2.05552,2.03256,2.08246,0.86405,0,0.00168201,0.00168201,0.00168201
23,560.087,2.1902,2.4605,2.12897,1.09789,0,0.31573,0.26569,0.19313,0.05356,0.33097,0.31313,0.15087,0.03346,1.91185,2.12881,1.96776,0.80589,0,0.00165295,0.00165295,0.00165295
24,583.822,2.35351,2.58718,2.25645,1.08865,0,0.36815,0.29293,0.20252,0.06938,0.3076,0.25253,0.18215,0.05874,1.907,1.80334,1.93081,0.81002,0,0.0016229,0.0016229,0.0016229
25,607.499,2.18855,2.26474,2.11169,1.08003,0,0.28925,0.25253,0.15538,0.04863,0.25249,0.24242,0.13413,0.0342,1.86301,2.04622,1.98274,0.7648,0,0.00159191,0.00159191,0.00159191
