epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7526,1.91443,2.79086,18.148,1.13073,0,0.00104,0.09091,0.00273,0.00071,0.0013,0.11364,0.00405,0.0013,1.05494,1.67724,43.089,0.61753,0,0.000661376,0.000661376,0.000661376
2,71.8737,1.88465,2.72371,15.9525,1.09788,0,0.22806,0.12727,0.07128,0.01955,0.19875,0.10909,0.05371,0.01456,1.18208,1.645,37.9869,0.66198,0,0.00132772,0.00132772,0.00132772
3,105.214,2.04501,2.90757,13.2079,1.22506,0,0.16282,0.12727,0.06254,0.01515,0.08511,0.1,0.02842,0.006,1.18929,1.66612,31.187,0.6973,0,0.00199276,0.00199276,0.00199276
4,138.085,2.0927,2.92337,12.208,1.33851,0,0.10028,0.12273,0.05677,0.01312,0.04609,0.10909,0.02154,0.0054,1.27951,1.62048,26.5294,0.7102,0,0.00199561,0.00199561,0.00199561
5,171.618,2.23001,2.99012,9.99949,1.37363,0,0.10533,0.09545,0.03535,0.00973,0.0671,0.08182,0.03365,0.00827,1.26615,2.09943,21.7114,0.79048,0,0.00199219,0.00199219,0.00199219
6,204.178,2.0252,2.69711,9.65747,1.20445,0,0.25802,0.12962,0.09646,0.02769,0.26707,0.13417,0.10939,0.03076,1.17394,1.56449,18.7251,0.73024,0,0.00198781,0.00198781,0.00198781
7,237.407,2.09686,2.62792,8.11048,1.30576,0,0.16996,0.22273,0.08553,0.02177,0.16567,0.25455,0.09006,0.02354,1.18682,1.43519,14.5948,0.71529,0,0.00198246,0.00198246,0.00198246
8,271.037,2.32204,2.94083,6.72297,1.42838,0,0.15281,0.18182,0.08582,0.02454,0.13753,0.16364,0.08425,0.02296,1.28358,1.45066,14.22,0.74541,0,0.00197616,0.00197616,0.00197616
9,303.749,2.0982,2.65074,6.52015,1.30894,0,0.08644,0.20909,0.04817,0.01279,0.0757,0.19545,0.04468,0.01137,1.24908,1.63304,11.9413,0.72209,0,0.0019689,0.0019689,0.0019689
10,336.315,1.99943,2.51982,5.85477,1.26161,0,0.20522,0.1,0.08966,0.02411,0.18032,0.09545,0.06426,0.01994,1.25804,1.53202,10.2917,0.69627,0,0.00196069,0.00196069,0.00196069
11,369.354,2.00257,3.45053,5.10971,1.25735,0,0.09832,0.16364,0.04871,0.01329,0.08739,0.14545,0.04326,0.01004,1.3476,1.78742,9.93282,0.81475,0,0.00195155,0.00195155,0.00195155
12,402.071,2.0555,2.57737,4.79496,1.26025,0,0.12819,0.21818,0.07749,0.02203,0.10659,0.27273,0.07404,0.02119,1.26962,1.45292,8.47851,0.75648,0,0.00194147,0.00194147,0.00194147
13,434.865,2.13903,2.70274,4.52156,1.29302,0,0.46429,0.07273,0.1253,0.03987,0.37723,0.05909,0.11538,0.02975,1.26713,1.493,7.61726,0.67978,0,0.00193048,0.00193048,0.00193048
14,467.826,1.9714,2.62621,3.96081,1.23901,0,0.17591,0.19091,0.10387,0.02895,0.15536,0.21818,0.09057,0.02694,1.25381,1.35585,5.92726,0.68193,0,0.00191858,0.00191858,0.00191858
15,500.948,1.98713,2.64134,3.52271,1.25404,0,0.14281,0.18636,0.08642,0.02559,0.10728,0.15909,0.07005,0.01705,1.25168,1.42579,5.59791,0.65215,0,0.00190578,0.00190578,0.00190578
16,533.804,1.91925,2.62079,3.32992,1.27161,0,0.19216,0.15,0.13757,0.04901,0.19216,0.15,0.13161,0.053,1.22531,1.40861,4.79929,0.71044,0,0.0018921,0.0018921,0.0018921
17,566.508,2.0482,2.57596,3.10773,1.33577,0,0.1855,0.18182,0.11317,0.03853,0.20828,0.21818,0.11499,0.03488,1.17247,1.37892,4.36101,0.68044,0,0.00187754,0.00187754,0.00187754
18,599.048,1.96106,2.35535,2.88241,1.22178,0,0.19835,0.20909,0.12518,0.03882,0.25013,0.21364,0.15118,0.04787,1.22398,1.39713,4.20732,0.70935,0,0.00186213,0.00186213,0.00186213
19,631.791,2.13659,2.72752,2.82909,1.33362,0,0.15398,0.17273,0.10267,0.03415,0.19021,0.17727,0.10892,0.03275,1.26223,1.4501,3.80323,0.72415,0,0.00184588,0.00184588,0.00184588
20,664.43,1.89314,2.441,2.70311,1.21061,0,0.22187,0.20455,0.1287,0.03829,0.21912,0.22273,0.13153,0.04212,1.23589,1.44667,3.68013,0.67919,0,0.00182881,0.00182881,0.00182881
21,697.133,1.93833,2.69059,2.65298,1.3235,0,0.19752,0.2,0.13612,0.04257,0.16343,0.22273,0.11616,0.03614,1.19428,1.40777,3.57844,0.7128,0,0.00181093,0.00181093,0.00181093
22,729.933,2.08207,2.64264,2.61339,1.29694,0,0.25086,0.2,0.15249,0.04479,0.28314,0.20455,0.15145,0.04725,1.23051,1.39885,3.15099,0.69807,0,0.00179225,0.00179225,0.00179225
23,762.763,1.98995,2.51059,2.64226,1.28323,0,0.19372,0.25455,0.1141,0.03081,0.19292,0.27925,0.12916,0.03395,1.2208,1.34192,2.88078,0.72013,0,0.00177281,0.00177281,0.00177281
24,795.255,2.05777,2.54998,2.48049,1.24776,0,0.21949,0.26818,0.13246,0.037,0.20456,0.29545,0.1157,0.03225,1.20493,1.33988,3.26102,0.68485,0,0.00175261,0.00175261,0.00175261
25,828.008,1.9492,2.49734,2.34195,1.2502,0,0.21111,0.25455,0.13854,0.04332,0.21424,0.28636,0.13639,0.04405,1.1631,1.31563,2.42751,0.63579,0,0.00173168,0.00173168,0.00173168
26,861.078,2.1291,2.76135,2.30281,1.28562,0,0.23507,0.33182,0.14562,0.04318,0.23979,0.30969,0.15208,0.04258,1.1987,1.28638,2.42657,0.63491,0,0.00171004,0.00171004,0.00171004
27,893.649,1.9999,2.63555,2.27054,1.328,0,0.23323,0.25994,0.1421,0.05055,0.2438,0.21364,0.15342,0.04469,1.10127,1.36867,2.32465,0.62505,0,0.0016877,0.0016877,0.0016877
28,926.601,2.04037,2.56035,2.33106,1.21354,0,0.19688,0.26364,0.13748,0.04298,0.17651,0.23636,0.12398,0.04239,1.15131,1.32732,2.47653,0.66398,0,0.0016647,0.0016647,0.0016647
29,960.372,1.84655,2.38873,2.09614,1.09316,0,0.23261,0.24091,0.16789,0.05059,0.27863,0.27038,0.19422,0.05679,1.17119,1.39307,2.16352,0.64973,0,0.00164105,0.00164105,0.00164105
30,993.205,1.92662,2.63719,2.10019,1.23282,0,0.21947,0.25909,0.15924,0.04951,0.25067,0.26364,0.18877,0.05464,1.11284,1.47637,2.0628,0.62868,0,0.00161678,0.00161678,0.00161678
31,1025.61,1.79363,2.41761,1.9981,1.11484,0,0.19741,0.23636,0.1524,0.05073,0.2088,0.25,0.15689,0.04544,1.20707,1.48391,2.09045,0.62939,0,0.00159191,0.00159191,0.00159191
32,1058.34,1.87888,2.4406,1.96512,1.16243,0,0.18339,0.26818,0.1294,0.04546,0.16409,0.23735,0.11808,0.03772,1.1437,1.45783,2.18678,0.61625,0,0.00156646,0.00156646,0.00156646
33,1090.69,1.77571,2.40527,1.81271,1.08351,0,0.20219,0.3,0.14193,0.04355,0.19755,0.25455,0.13058,0.03469,1.04414,1.35877,1.94657,0.61603,0,0.00154047,0.00154047,0.00154047
34,1123.71,2.16235,2.62267,2.1611,1.3062,0,0.21021,0.29545,0.15207,0.04877,0.20698,0.29091,0.12494,0.03729,1.10162,1.39207,1.86225,0.65684,0,0.00151395,0.00151395,0.00151395
35,1156.17,1.90321,2.29797,2.05295,1.10578,0,0.23378,0.25909,0.17706,0.05967,0.2459,0.3,0.20228,0.06422,1.16137,1.45591,1.78541,0.64785,0,0.00148694,0.00148694,0.00148694
36,1188.87,1.97227,2.51493,1.99483,1.22643,0,0.25369,0.27273,0.19601,0.07192,0.22169,0.22273,0.1592,0.05243,1.08466,1.4281,1.75927,0.61486,0,0.00145945,0.00145945,0.00145945
37,1221.87,2.03494,2.69872,1.99113,1.33915,0,0.23973,0.27727,0.18684,0.06907,0.24283,0.26364,0.18558,0.0575,1.11383,1.35469,1.78562,0.63341,0,0.00143152,0.00143152,0.00143152
38,1254.44,1.95964,2.49744,1.98109,1.18003,0,0.27836,0.25455,0.18061,0.06125,0.16854,0.26364,0.1361,0.04649,1.04993,1.32924,1.66417,0.60885,0,0.00140318,0.00140318,0.00140318
39,1287.09,2.00233,2.63287,1.92627,1.28338,0,0.25451,0.25139,0.17566,0.05713,0.21981,0.24091,0.15015,0.04472,1.01793,1.35104,1.99739,0.60176,0,0.00137444,0.00137444,0.00137444
40,1319.94,1.91995,2.45302,1.87997,1.1429,0,0.24818,0.28636,0.18801,0.06416,0.24986,0.24545,0.17165,0.05469,1.04693,1.32624,1.58955,0.60271,0,0.00134535,0.00134535,0.00134535
41,1352.83,1.83525,2.39872,1.86622,1.1528,0,0.28126,0.29545,0.2113,0.0759,0.211,0.28182,0.15854,0.05538,1,1.26623,1.73729,0.57445,0,0.00131593,0.00131593,0.00131593
42,1385.27,1.76497,2.26187,1.87987,1.04501,0,0.26006,0.30909,0.1832,0.06933,0.27753,0.30909,0.20347,0.07041,0.98083,1.25916,1.56905,0.58767,0,0.0012862,0.0012862,0.0012862
43,1417.74,1.68271,2.27848,1.84881,1.04375,0,0.23754,0.28181,0.18507,0.07165,0.25287,0.29999,0.19904,0.06658,1.09275,1.24381,1.48266,0.58769,0,0.0012562,0.0012562,0.0012562
44,1450.77,1.83475,2.37814,1.85714,1.15177,0,0.32367,0.29091,0.22164,0.08298,0.35522,0.29545,0.20938,0.06507,1.09013,1.21762,1.51675,0.58508,0,0.00122596,0.00122596,0.00122596
45,1482.87,1.53571,2.02016,1.70294,1.02459,0,0.29538,0.29091,0.2213,0.0805,0.28424,0.30455,0.22445,0.07575,1.12863,1.23713,1.44168,0.6001,0,0.00119551,0.00119551,0.00119551
46,1515.51,1.99618,2.52219,1.88914,1.21467,0,0.29551,0.31364,0.22661,0.07752,0.19641,0.29091,0.15147,0.05119,1.08616,1.25189,1.4901,0.57126,0,0.00116487,0.00116487,0.00116487
47,1548.04,1.84992,2.41521,1.8884,1.08308,0,0.22001,0.3,0.19256,0.07143,0.19328,0.27273,0.15646,0.05642,1.0941,1.28599,1.4191,0.57838,0,0.00113408,0.00113408,0.00113408
48,1580.81,1.8587,2.30154,1.71527,1.10711,0,0.22485,0.25,0.19263,0.07199,0.21115,0.23182,0.16659,0.05599,1.09143,1.32679,1.61188,0.585,0,0.00110317,0.00110317,0.00110317
49,1613.6,1.79148,2.37547,1.80289,1.07555,0,0.21722,0.34545,0.16657,0.06022,0.15645,0.3,0.12175,0.03916,1.05301,1.299,1.46352,0.5661,0,0.00107216,0.00107216,0.00107216
50,1645.95,1.73772,2.33823,1.71583,1.08432,0,0.24984,0.32727,0.18084,0.06833,0.19095,0.33365,0.15063,0.04853,1.07187,1.3339,1.43033,0.57281,0,0.0010411,0.0010411,0.0010411
51,1678.46,1.62369,2.23086,1.634,1.07044,0,0.22103,0.30909,0.19125,0.079,0.23593,0.27727,0.18196,0.05982,1.03213,1.27537,1.44575,0.56392,0,0.00101,0.00101,0.00101
52,1711.09,1.76158,2.16712,1.59636,1.03194,0,0.23781,0.35455,0.19502,0.07857,0.28651,0.32273,0.19807,0.06586,1.05519,1.28683,1.43948,0.5729,0,0.000978903,0.000978903,0.000978903
53,1744.55,1.76829,2.38414,1.73097,1.07787,0,0.24385,0.34545,0.19471,0.06889,0.2504,0.34923,0.20602,0.06319,1.12818,1.3723,1.34269,0.59137,0,0.000947837,0.000947837,0.000947837
54,1778.49,1.70635,2.19411,1.73118,1.04402,0,0.24085,0.35455,0.18816,0.0645,0.22356,0.32273,0.16941,0.05436,1.1199,1.41588,1.37225,0.57519,0,0.000916833,0.000916833,0.000916833
55,1811.22,1.73788,2.2663,1.56148,1.08905,0,0.26329,0.32727,0.21756,0.07979,0.26367,0.31818,0.21283,0.06891,1.10074,1.4219,1.4384,0.569,0,0.00088592,0.00088592,0.00088592
56,1844.03,1.72901,2.37395,1.67327,1.07678,0,0.28682,0.32273,0.21898,0.08379,0.29046,0.32273,0.22381,0.07488,1.04943,1.40401,1.26945,0.57996,0,0.00085513,0.00085513,0.00085513
57,1876.62,1.60682,2.1542,1.62613,0.99228,0,0.27521,0.32621,0.23248,0.07446,0.23826,0.37727,0.18982,0.05979,0.96529,1.42693,1.25876,0.57469,0,0.000824492,0.000824492,0.000824492
58,1909.41,1.67357,2.12515,1.55547,1.03702,0,0.272,0.33636,0.18834,0.07308,0.21604,0.38182,0.18273,0.05853,1.08054,1.40695,1.39163,0.5833,0,0.000794038,0.000794038,0.000794038
59,1941.97,1.63608,2.19293,1.64832,1.00341,0,0.25537,0.36818,0.21184,0.07429,0.19809,0.31364,0.17196,0.05401,1.07491,1.36703,1.35072,0.56986,0,0.000763797,0.000763797,0.000763797
60,1974.41,1.7601,2.29633,1.64194,1.09288,0,0.22049,0.35,0.20442,0.07738,0.18953,0.32273,0.16884,0.05933,1.03997,1.27312,1.25217,0.55812,0,0.000733799,0.000733799,0.000733799
61,2006.72,1.66606,2.17694,1.59551,1.03403,0,0.26095,0.35455,0.20712,0.07942,0.21738,0.34091,0.18205,0.05987,1.06041,1.259,1.29407,0.57942,0,0.000704073,0.000704073,0.000704073
62,2039.77,1.69262,2.23914,1.55252,1.0281,0,0.24011,0.31364,0.19158,0.06802,0.21009,0.33182,0.16852,0.05761,1.06261,1.2451,1.31454,0.56351,0,0.000674649,0.000674649,0.000674649
63,2074.24,1.68067,2.16798,1.55229,1.04532,0,0.29907,0.32727,0.22536,0.077,0.2963,0.33182,0.22706,0.07505,1.02312,1.27582,1.26494,0.55672,0,0.000645557,0.000645557,0.000645557
64,2106.43,1.85795,2.48926,1.74833,1.12267,0,0.31382,0.33182,0.22744,0.08243,0.32103,0.30909,0.22906,0.07408,1.03631,1.31956,1.26527,0.5644,0,0.000616824,0.000616824,0.000616824
65,2139.24,1.63614,2.36,1.58493,1.03691,0,0.25253,0.34545,0.23503,0.08225,0.24576,0.31364,0.20013,0.06537,0.99133,1.32758,1.2248,0.5505,0,0.000588479,0.000588479,0.000588479
66,2171.65,1.65372,2.12751,1.55223,0.98228,0,0.26005,0.38182,0.24798,0.08547,0.27551,0.32273,0.21847,0.06866,0.99807,1.31539,1.21479,0.55257,0,0.000560549,0.000560549,0.000560549
67,2204.29,1.8274,2.3903,1.60166,1.17347,0,0.30248,0.39091,0.25898,0.09402,0.30951,0.4,0.27579,0.09625,1.01435,1.26866,1.22668,0.56053,0,0.000533064,0.000533064,0.000533064
68,2236.42,1.60622,2.14571,1.54632,0.99549,0,0.31549,0.33182,0.24603,0.08726,0.25895,0.34626,0.22974,0.07571,1.0214,1.26764,1.19859,0.56164,0,0.000506049,0.000506049,0.000506049
69,2269.1,1.7913,2.26163,1.67092,1.12737,0,0.29356,0.36364,0.24986,0.08507,0.23041,0.37273,0.20994,0.0685,1.02031,1.26638,1.23006,0.56259,0,0.000479531,0.000479531,0.000479531
70,2301.76,1.67879,2.23217,1.57234,1.09114,0,0.29565,0.34545,0.24772,0.08613,0.28027,0.44545,0.24841,0.07734,1.05879,1.3083,1.35746,0.5569,0,0.000453537,0.000453537,0.000453537
71,2334.23,1.65556,2.31676,1.59337,1.04204,0,0.29767,0.36818,0.227,0.07279,0.30868,0.38636,0.24349,0.07462,1.08099,1.31879,1.32858,0.56111,0,0.000428093,0.000428093,0.000428093
72,2366.58,1.80358,2.46809,1.57276,1.14863,0,0.28375,0.37273,0.22179,0.0789,0.24275,0.36818,0.20793,0.06646,1.04112,1.28568,1.21997,0.55548,0,0.000403222,0.000403222,0.000403222
73,2398.79,1.71611,2.13751,1.60029,1.08653,0,0.28349,0.36818,0.23614,0.08142,0.2381,0.33636,0.17481,0.05849,1.04303,1.28787,1.27493,0.55492,0,0.00037895,0.00037895,0.00037895
74,2431.51,1.67858,2.04468,1.5571,0.9993,0,0.28219,0.35909,0.22529,0.07917,0.23117,0.36364,0.18141,0.05988,1.08556,1.2906,1.25956,0.56698,0,0.000355301,0.000355301,0.000355301
75,2468.11,1.80445,2.33291,1.61124,1.11557,0,0.2801,0.36818,0.223,0.07989,0.24357,0.37273,0.17997,0.05781,1.09664,1.31681,1.25543,0.56535,0,0.000332298,0.000332298,0.000332298
76,2504.41,1.72991,2.28618,1.61575,1.11534,0,0.27036,0.35,0.22585,0.08412,0.219,0.40909,0.18887,0.06116,1.0722,1.33304,1.21347,0.5595,0,0.000309964,0.000309964,0.000309964
